# Interplanetary shocks list from IPShocks.com
# Generated on 14.10.2025
# Columns:
# Year
# Month (1-12)
# Day (1-31)
# Hour (0-23)
# Minute (0-59)
# Second (0-59)
# Spacecraft
# Shock type
# Magnetic field ratio
# Speed jump (km/s)
# Proton density ratio
# Proton temperature ratio
# Alfven speed upstream (km/s)
# Magnetosonic speed upstream (km/s)
# Plasma beta upstream
# Shock normal X
# Shock normal Y
# Shock normal Z
# Shock theta (degrees)
# Shock speed (km/s)
# Magnetosonic Mach number
2022; 8;31;21;44;26;     SolO;FF;2.13;527.13; 3.47;12.12;125.58;147.29; 0.47; 0.82;-0.50;-0.29;22.05;1103.88; 4.62
2022; 9; 6;10; 0;52;     SolO;FF;1.74;360.98; 1.48; 5.58;166.54;200.41; 0.56; 0.72;-0.57; 0.39;29.63;1603.40; 6.16
2022; 9; 8;21; 0;43;     SolO;FF;1.63;132.43; 2.20; 2.49; 84.11;113.79; 1.00; 0.93; 0.00;-0.36;12.60; 710.72; 1.81
2022; 9;13;17;10;32;     SolO;FF;1.37; 26.16; 1.38; 1.34; 42.69; 77.09; 2.72; 0.99;-0.01; 0.16;29.65; 398.95; 1.12
2022;12; 7; 5;22; 8;     SolO;FR;1.34; 27.74; 1.39; 1.08; 67.73;100.34; 1.44;-0.52;-0.76; 0.38;88.53;  77.63; 1.75
2022;12;26; 5;21;27;     SolO;FF;2.31;135.32; 3.02; 2.25; 70.45; 97.32; 1.09; 0.94; 0.32; 0.12;69.10; 608.79; 2.16
2023; 1;13; 1;37;54;     SolO;FF;1.30; 55.13; 1.93; 1.70; 98.99;113.99; 0.39; 0.90; 0.23; 0.37;52.36; 477.61; 0.76
2023; 2;17;14; 3;30;     SolO;FF;1.61; 59.89; 1.59; 1.65; 68.34; 93.07; 1.03; 0.93;-0.17;-0.32;49.13; 511.16; 1.85
2023; 2;19; 9;58;46;     SolO;FF;1.98;118.82; 2.29; 4.35; 75.31; 98.63; 0.88; 0.85; 0.51;-0.11;32.71; 661.64; 2.84
2023; 2;20;22;48;50;     SolO;FF;1.31; 38.42; 1.44; 1.73; 73.85; 92.83; 0.70; 0.71; 0.44; 0.55;40.48; 414.34; 1.07
2023; 2;21; 3;35;55;     SolO;FF;1.74; 62.85; 1.64; 1.58; 80.25;102.68; 0.78; 0.81; 0.43; 0.40;71.37; 563.49; 1.91
2023; 2;21;16;59;20;     SolO;FF;1.34; 27.13; 1.49; 1.05; 62.42;101.57; 2.03; 0.71; 0.27; 0.65;72.68; 485.22; 1.31
2023; 3;14; 1; 8;28;     SolO;FF;3.14;186.36; 3.38; 2.44; 56.04; 90.99; 2.06; 0.97;-0.21; 0.15;64.84; 661.80; 2.96
2023; 4;10; 4;33;38;     SolO;FF;1.81; 83.20; 1.28; 2.78; 74.40;112.35; 1.54; 0.77;-0.47;-0.44;35.92; 782.94; 4.76
2023; 4;22; 8; 2; 9;     SolO;FF;1.93; 55.03; 2.00; 1.38; 61.70; 94.24; 1.61; 0.59; 0.43; 0.69;47.89; 350.55; 1.35
2023; 6; 4; 3; 7;15;     SolO;FR;2.02;114.45; 2.08; 2.37; 44.77; 88.75; 3.55;-0.98; 0.00;-0.19;23.05; 406.03; 2.49
2023; 6;12; 4;57;24;     SolO;FR;1.40; 44.93; 1.44; 1.24;100.44;131.86; 0.87;-0.89; 0.07; 0.45;47.05; 385.25; 1.25
2023; 7;13;17;33; 3;     SolO;FF;1.61; 54.68; 1.24; 1.78; 68.55; 88.10; 0.78; 0.77;-0.46; 0.45;43.61; 632.40; 4.07
2023; 7;13;20;37;59;     SolO;FF;1.51; 67.22; 1.41; 2.27;112.98;127.42; 0.33; 0.88; 0.28;-0.39;67.11; 598.99; 2.17
2023; 7;14; 0;30; 1;     SolO;FF;1.64; 94.61; 1.54; 1.44;109.44;130.81; 0.52; 0.96; 0.12;-0.26;53.50; 630.18; 2.07
2023; 7;18; 6; 9;43;     SolO;FF;1.95; 42.78; 2.02; 1.86; 36.33; 67.25; 3.10; 0.94; 0.33;-0.07;75.76; 510.21; 1.31
2023; 7;18; 8;59;26;     SolO;FF;1.42; 51.40; 1.37; 2.60;102.88;115.89; 0.33; 0.78; 0.13;-0.62;64.37; 600.35; 2.05
2023; 7;18;17; 6;50;     SolO;FF;2.43;154.55; 2.27; 2.51; 68.38;109.10; 1.88; 0.87; 0.50; 0.03;39.72; 766.49; 2.77
2023; 7;24;12; 7;31;     SolO;FF;1.95; 63.06; 2.12; 1.73; 48.21; 78.01; 1.95; 0.68;-0.41; 0.62;81.89; 414.65; 1.52
2023; 7;26; 1;22;45;     SolO;FF;1.64;287.91; 3.18; 5.26; 73.51;109.59; 1.55; 0.71;-0.39; 0.59;28.52; 873.56; 3.67
2023; 7;31; 6;38;58;     SolO;FF;1.48; 56.45; 1.63; 2.83; 51.10; 76.83; 1.52; 0.88;-0.08;-0.46;12.29; 451.02; 1.83
2023; 8; 4; 1;29;11;     SolO;FF;1.65; 55.23; 1.63; 2.48; 47.40; 73.86; 1.74; 0.95; 0.25;-0.19;43.37; 463.18; 2.01
